Symptoms,HealthFactors,Age Group,Severity,Predicted Disease
"irregular heartbeat, hoarseness, numbness, craving for salt, confusion",family history of cancer,child,mild,Transient Ischemic Attack
"lump or swelling, sensitivity to light, lightheadedness, trouble walking","allergies, stress, rural living, chronic kidney disease",teenager,moderate,Breast Cancer
"loss of appetite, loss of smell, swelling in legs, blurred vision","family history of cancer, COPD, vitamin D deficiency",adult,mild,Anxiety Disorder
"drooling, hand tremors, hallucinations, nosebleeds, fatigue","exposure to chemicals, frequent travel, alcohol use",adult,mild,Insomnia
"joint pain, loss of balance, insomnia, dizziness, gas/bloating, difficulty sleeping","sleep apnea, hypertension, occupational hazard",senior,moderate,Colon Cancer
"swelling in legs, difficulty sleeping, blurred vision",,adult,moderate,Malaria
"frequent infections, loss of appetite, loss of smell, muscle stiffness, ear pain",family history of cancer,adult,mild,Anxiety Disorder
"ear pain, swelling in legs, frequent infections, blurred vision, loss of appetite, muscle stiffness, loss of smell","COPD, vitamin D deficiency, family history of cancer",teenager,severe,Anxiety Disorder
"painful urination, muscle stiffness, chronic cough, hair loss",HIV positive,adult,mild,Otitis Media
"abdominal pain, lightheadedness, cough, tremors","thyroid disorder, autoimmune disorder",senior,severe,Sinusitis
"loss of taste, lightheadedness, increased thirst, leg cramps, chronic cough","chronic kidney disease, exposure to chemicals",adult,mild,Parkinson’s Disease
"fainting, fever",,teenager,moderate,Diabetes Type 2
"tremors, lightheadedness","alcohol use, autoimmune disorder, thyroid disorder",adult,mild,Sinusitis
"gas/bloating, loss of taste, hand tremors, persistent sneezing, palpitations",chronic liver disease,senior,mild,Tension Headache
"painful urination, confusion, lightheadedness","vitamin D deficiency, exposure to chemicals, hypertension, obesity",teenager,moderate,Tuberculosis
"vomiting, chronic cough, weight loss, difficulty breathing at night",hypertension,adult,mild,Down Syndrome
fainting,,senior,severe,Bipolar Disorder
"depression, involuntary movements, hiccups, weight loss","stress, HIV positive",teenager,moderate,Mumps
"loss of balance, chest pain, back pain, increased thirst",,adult,severe,Hyperthyroidism
"wheezing, low energy, hand tremors",,senior,mild,Chickenpox
"difficulty breathing at night, nosebleeds, frequent infections, memory loss, palpitations, shortness of breath",,adult,moderate,Cirrhosis
"fainting, double vision, groin pain",thyroid disorder,teenager,mild,Pneumonia
"difficulty breathing at night, hoarseness, weight loss, vomiting, chronic cough","hypertension, allergies",child,mild,Down Syndrome
"shortness of breath, depression, heat intolerance, dizziness","high cholesterol, autoimmune disorder",adult,moderate,Stroke
"painful urination, wheezing","obesity, chronic kidney disease, rural living",teenager,moderate,Bronchitis
"double vision, frequent headaches, lump or swelling, frequent urination, fainting","chronic kidney disease, radiation exposure",teenager,mild,Pneumonia
"hair loss, shortness of breath, nosebleeds",,adult,moderate,Cirrhosis
"difficulty speaking, loss of balance",,senior,mild,Dengue Fever
difficulty speaking,"chronic kidney disease, long-term medication use, obesity",senior,mild,Peptic Ulcer
"persistent hiccups, hand tremors",,adult,mild,Conjunctivitis
"memory loss, nosebleeds, difficulty breathing at night, hair loss, frequent infections, palpitations, shortness of breath",alcohol use,adult,moderate,Cirrhosis
"dizziness, bleeding gums, nail changes","COPD, chronic liver disease",adult,moderate,Common Cold
"lightheadedness, loss of balance, chest pain, voice tremor, difficulty concentrating, back pain","obesity, family history of heart disease",adult,mild,Hyperthyroidism
"difficulty concentrating, heat intolerance, repetitive movements, fainting, urinary incontinence, difficulty swallowing, yellowing of eyes",,child,mild,Typhoid
"difficulty breathing at night, memory loss",,adult,moderate,Cirrhosis
"dizziness, joint pain, insomnia",occupational hazard,adult,mild,Colon Cancer
"loss of smell, blurred vision, frequent infections, loss of appetite, swelling in legs, muscle stiffness, ear pain",vitamin D deficiency,teenager,mild,Anxiety Disorder
"slow healing, joint pain, palpitations",anemia,senior,moderate,Depression
"involuntary movements, acid reflux, nail changes, slow healing, loss of balance, irritability",,child,moderate,Measles
hair loss,"diabetes, chronic kidney disease",adult,severe,COVID-19
"dry eyes, cold hands and feet, dry mouth, hoarseness","diabetes, long-term medication use",senior,severe,Lung Cancer
"hoarseness, weight loss, difficulty breathing at night, vomiting, chronic cough",hypertension,senior,moderate,Down Syndrome
"difficulty urinating, loss of taste, abdominal pain, heat intolerance, irregular heartbeat","family history of cancer, family history of heart disease, sedentary lifestyle",adult,moderate,Lymphoma
"joint pain, palpitations",,adult,moderate,Depression
"difficulty speaking, difficulty urinating, joint pain","family history of cancer, chronic kidney disease",teenager,mild,Glaucoma
"involuntary movements, tingling sensation, insomnia",,senior,mild,Urinary Tract Infection
"lump or swelling, frequent headaches, groin pain",radiation exposure,senior,moderate,Pneumonia
"acid reflux, involuntary movements, hallucinations, nail changes",,adult,moderate,PCOS
"joint pain, difficulty breathing at night, dry eyes, loss of balance, difficulty speaking",,adult,mild,Dengue Fever
"hair loss, heat intolerance",high cholesterol,adult,mild,COVID-19
"urinary incontinence, repetitive movements",recent infection,adult,moderate,Typhoid
"drooling, nosebleeds, hand tremors, cough, fatigue","smoker, exposure to chemicals, frequent travel",teenager,severe,Insomnia
hoarseness,asthma,senior,severe,Lung Cancer
"slow healing, palpitations, joint pain, chronic cough","anemia, frequent travel",senior,severe,Depression
"difficulty urinating, difficulty breathing at night, headache, loss of balance, nausea, easy bruising, dry eyes",high cholesterol,adult,moderate,Crohn’s Disease
"anxiety, joint pain, mood swings","alcohol use, rural living, occupational hazard",child,moderate,Meningitis
loss of smell,"vitamin D deficiency, COPD, family history of cancer",child,moderate,Anxiety Disorder
"tremors, lightheadedness","autoimmune disorder, alcohol use, thyroid disorder",teenager,severe,Sinusitis
"trouble walking, lump or swelling, lightheadedness, sensitivity to light","stress, chronic kidney disease, allergies",adult,mild,Breast Cancer
unsteady gait,"malnutrition, occupational hazard",adult,moderate,Alzheimer’s Disease
"nausea, tremors","HIV positive, chronic liver disease, urban living",adult,moderate,Multiple Sclerosis
"loss of balance, chest pain, difficulty concentrating, lightheadedness, increased thirst",,senior,mild,Hyperthyroidism
"abdominal pain, neck stiffness, diarrhea, constipation, wheezing, difficulty swallowing",,adult,mild,Lupus
"wheezing, frequent belching","hypertension, pregnancy",senior,mild,Epilepsy
"constipation, abdominal pain, back pain, hearing loss, sensitivity to light","COPD, high cholesterol",adult,mild,Sleep Apnea
craving for salt,family history of heart disease,child,moderate,Zika Virus
"headache, difficulty urinating, difficulty breathing at night","hypertension, high cholesterol",adult,mild,Crohn’s Disease
"abdominal pain, fatigue, hoarseness",chronic kidney disease,child,mild,Iron Deficiency
"nail changes, leg cramps, difficulty swallowing",,adult,moderate,Cataract
"persistent hiccups, abdominal pain, ear pain, heat intolerance, lump or swelling",HIV positive,teenager,moderate,Gastroenteritis
"leg cramps, chronic cough, increased thirst","chronic kidney disease, exposure to chemicals, occupational hazard",adult,moderate,Parkinson’s Disease
"swelling in legs, groin pain",smoker,adult,moderate,Gallstones
"frequent belching, confusion, hand tremors",exposure to chemicals,adult,mild,COPD
"irritability, blurred vision, difficulty sleeping, swelling in legs, diarrhea",,adult,mild,Malaria
"difficulty swallowing, cough, groin pain, muscle pain, chest pain, painful urination","malnutrition, alcohol use, pregnancy",teenager,mild,Macular Degeneration
hallucinations,night shift worker,teenager,moderate,PCOS
"painful urination, confusion, lightheadedness, irregular heartbeat, fever","obesity, vitamin D deficiency",senior,moderate,Tuberculosis
"dry eyes, difficulty breathing at night, nausea, difficulty urinating",recent surgery,adult,mild,Crohn’s Disease
"mood swings, anxiety, joint pain",rural living,senior,moderate,Meningitis
"hearing loss, abdominal pain","COPD, sleep apnea",senior,mild,Sleep Apnea
"frequent belching, hand tremors, persistent hiccups",exposure to chemicals,senior,moderate,COPD
"confusion, yellowing of eyes, numbness, irregular heartbeat, craving for salt, shortness of breath, hoarseness","family history of cancer, radiation exposure",senior,mild,Transient Ischemic Attack
irregular heartbeat,,teenager,severe,Transient Ischemic Attack
painful urination,,senior,moderate,Otitis Media
"fainting, bleeding gums, frequent belching",allergies,teenager,mild,Ulcerative Colitis
"heat intolerance, double vision, swollen lymph nodes, persistent sneezing, rash",exposure to chemicals,teenager,moderate,Kidney Stones
"neck stiffness, difficulty swallowing, fainting, constipation",,adult,moderate,Anemia
"urinary incontinence, hand tremors","chronic liver disease, urban living",teenager,moderate,Multiple Sclerosis
"nausea, hand tremors, difficulty speaking, tremors, difficulty sleeping","chronic liver disease, HIV positive, urban living",adult,severe,Multiple Sclerosis
"painful urination, nausea",sleep apnea,adult,moderate,Migraine
"joint pain, difficulty sleeping, gas/bloating, dizziness","hypertension, occupational hazard, family history of heart disease, sleep apnea",child,moderate,Colon Cancer
"fever, difficulty urinating, difficulty speaking",,senior,severe,Glaucoma
insomnia,smoker,adult,moderate,Schizophrenia
"loss of appetite, hallucinations",,adult,moderate,Cerebral Palsy
fever,exposure to chemicals,senior,mild,Tuberculosis
"dizziness, heat intolerance","chronic kidney disease, diabetes, high cholesterol",teenager,moderate,COVID-19
anxiety,occupational hazard,senior,mild,Meningitis
bleeding gums,COPD,adult,moderate,Common Cold
"cold hands and feet, memory loss",HIV positive,teenager,mild,Congestive Heart Failure
"loss of taste, difficulty urinating, heat intolerance, abdominal pain, irregular heartbeat",family history of heart disease,adult,mild,Lymphoma
"yellowing of eyes, dry mouth, irregular heartbeat",,adult,mild,Epilepsy
"insomnia, persistent hiccups",family history of cancer,teenager,severe,Irritable Bowel Syndrome
"frequent infections, nosebleeds, hair loss, shortness of breath, palpitations","night shift worker, hypertension",adult,moderate,Cirrhosis
back pain,,senior,mild,Peptic Ulcer
vomiting,,adult,moderate,Coronary Artery Disease
"difficulty sleeping, urinary incontinence, fainting, insomnia, rash",,adult,mild,Schizophrenia
"ear pain, confusion, lump or swelling, heat intolerance, abdominal pain, persistent hiccups",occupational hazard,senior,moderate,Gastroenteritis
"tremors, nausea, difficulty speaking","chronic liver disease, HIV positive, urban living",adult,mild,Multiple Sclerosis
"loss of balance, vision loss, voice tremor, hand tremors, difficulty urinating, memory loss, cold hands and feet","HIV positive, recent surgery, smoker",senior,mild,Congestive Heart Failure
"persistent hiccups, facial drooping, loss of taste, groin pain","high cholesterol, asthma, diabetes",adult,mild,Chronic Kidney Disease
lump or swelling,"rural living, chronic kidney disease",adult,moderate,Breast Cancer
"difficulty swallowing, constipation, neck stiffness, vision loss, fainting",urban living,adult,moderate,Anemia
"involuntary movements, acid reflux, hallucinations, nail changes",recent infection,teenager,moderate,PCOS
"palpitations, joint pain, chronic cough",anemia,adult,moderate,Depression
"painful urination, abdominal pain, nausea",,adult,mild,Migraine
persistent hiccups,"diabetes, asthma",teenager,severe,Chronic Kidney Disease
loss of taste,"asthma, chronic liver disease, malnutrition",senior,severe,Tension Headache
leg cramps,chronic kidney disease,adult,mild,Cataract
neck stiffness,"occupational hazard, asthma",teenager,mild,Bipolar Disorder
"weight loss, difficulty sleeping, nosebleeds, depression, insomnia",hypertension,adult,mild,Hepatitis C
"depression, difficulty sleeping, insomnia, weight loss, loss of balance",vitamin D deficiency,adult,moderate,Hepatitis C
