symptom,predictedDisease,healthFactor,ageGroup,severity,userPreference,conventionalMedicine,alternativeMedicine,conventionalMedicineRating,alternativeMedicineRating
insomnia,Sleep Disorder,heart disease,adult,moderate,pharmaceutical,Melatonin,"Lavender Oil, Passionflower",4.7,3.5
sore throat,Strep Throat,obesity,adult,moderate,no preference,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.5,4.8
joint pain,Arthritis,obesity,child,severe,herbal,Ibuprofen,"Turmeric, Boswellia",4.2,4.1
headache,Migraine,hypertension,child,moderate,no preference,Paracetamol,"Butterbur, Magnesium",4.5,5.0
anxiety,Generalized Anxiety Disorder,no known condition,senior,moderate,no preference,Alprazolam,"Valerian Root, L-Theanine",4.8,3.7
cough,Common Cold,no known condition,child,severe,herbal,Dextromethorphan,"Mulethi, Thyme Tea",4.2,4.8
fever,Viral Infection,allergies,child,severe,no preference,Ibuprofen,"Tulsi Tea, Giloy",3.6,3.1
cough,Common Cold,obesity,senior,moderate,pharmaceutical,Dextromethorphan,"Thyme Tea, Mulethi",3.8,3.1
skin rash,Allergic Reaction,heart disease,child,severe,no preference,Antihistamine,"Oatmeal, Calendula",4.2,3.5
dizziness,Vertigo,asthma,child,severe,no preference,Meclizine,"Ginseng, Ginger",3.5,4.4
sore throat,Strep Throat,diabetes,adult,moderate,herbal,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.1,4.8
shortness of breath,Asthma,no known condition,senior,moderate,no preference,Albuterol,"Quercetin, Yoga",4.5,3.8
stomach pain,Gastritis,allergies,senior,mild,herbal,Omeprazole,"Chamomile, Fennel Seeds",4.4,3.1
nausea,Gastroenteritis,asthma,senior,moderate,no preference,Ondansetron,"Peppermint Oil, Lemon Balm",4.6,4.6
dizziness,Vertigo,no known condition,child,mild,pharmaceutical,Meclizine,"Ginger, Bacopa",4.5,3.7
nausea,Gastroenteritis,heart disease,child,severe,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",4.0,4.9
stomach pain,Gastritis,allergies,child,moderate,pharmaceutical,Omeprazole,"Probiotics, Chamomile",4.4,4.8
insomnia,Sleep Disorder,hypertension,adult,severe,herbal,Melatonin,"Passionflower, Lavender Oil",3.7,5.0
dizziness,Vertigo,obesity,child,severe,pharmaceutical,Meclizine,"Ginger, Bacopa",3.7,4.7
insomnia,Sleep Disorder,heart disease,child,mild,no preference,Melatonin,"Magnesium, Passionflower",3.8,4.4
fatigue,Chronic Fatigue Syndrome,hypertension,adult,mild,herbal,Vitamin B12,"Ashwagandha, Rhodiola",4.1,3.9
joint pain,Arthritis,allergies,adult,moderate,herbal,Ibuprofen,"Boswellia, Turmeric",4.1,4.6
stomach pain,Gastritis,hypertension,adult,severe,pharmaceutical,Omeprazole,"Probiotics, Fennel Seeds",3.8,3.2
sore throat,Strep Throat,allergies,adult,moderate,no preference,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.7,4.8
skin rash,Allergic Reaction,heart disease,adult,severe,pharmaceutical,Antihistamine,"Calendula, Aloe Vera",4.2,3.5
dizziness,Vertigo,diabetes,child,moderate,no preference,Meclizine,"Bacopa, Ginger",4.3,3.4
sore throat,Strep Throat,diabetes,child,moderate,no preference,Throat Lozenges,"Licorice Root Tea, Slippery Elm",3.9,4.0
cough,Common Cold,asthma,child,mild,herbal,Dextromethorphan,"Mulethi, Honey & Ginger",4.8,5.0
muscle pain,Fibromyalgia,allergies,adult,moderate,no preference,Diclofenac,"Arnica, Massage Therapy",4.6,3.4
stomach pain,Gastritis,allergies,adult,severe,herbal,Omeprazole,"Chamomile, Fennel Seeds",4.2,4.9
cough,Common Cold,asthma,child,mild,pharmaceutical,Dextromethorphan,"Mulethi, Thyme Tea",4.0,4.5
headache,Migraine,hypertension,senior,mild,no preference,Paracetamol,"Magnesium, Butterbur",4.6,4.6
skin rash,Allergic Reaction,heart disease,child,mild,pharmaceutical,Antihistamine,"Aloe Vera, Oatmeal",4.6,5.0
fever,Viral Infection,no known condition,senior,severe,no preference,Ibuprofen,"Giloy, Elderberry",5.0,4.0
fatigue,Chronic Fatigue Syndrome,hypertension,adult,mild,herbal,Vitamin B12,"Ginseng, Rhodiola",4.8,3.3
stomach pain,Gastritis,heart disease,adult,mild,herbal,Omeprazole,"Chamomile, Fennel Seeds",4.6,4.2
cough,Common Cold,diabetes,senior,mild,herbal,Dextromethorphan,"Thyme Tea, Mulethi",4.5,3.8
shortness of breath,Asthma,obesity,adult,severe,pharmaceutical,Albuterol,"Quercetin, Deep Breathing",4.4,3.1
fever,Viral Infection,no known condition,child,severe,herbal,Ibuprofen,"Giloy, Tulsi Tea",4.8,3.4
insomnia,Sleep Disorder,diabetes,child,mild,herbal,Melatonin,"Lavender Oil, Passionflower",4.0,3.8
dizziness,Vertigo,diabetes,child,moderate,herbal,Meclizine,"Ginseng, Bacopa",3.9,4.0
muscle pain,Fibromyalgia,diabetes,adult,severe,pharmaceutical,Diclofenac,"Eucalyptus Oil, Massage Therapy",3.9,4.4
anxiety,Generalized Anxiety Disorder,diabetes,child,severe,no preference,Alprazolam,"L-Theanine, Valerian Root",3.8,4.7
muscle pain,Fibromyalgia,diabetes,senior,moderate,pharmaceutical,Diclofenac,"Eucalyptus Oil, Massage Therapy",4.0,3.5
nausea,Gastroenteritis,hypertension,senior,mild,herbal,Ondansetron,"Lemon Balm, Ginger",3.9,3.0
shortness of breath,Asthma,obesity,adult,mild,no preference,Albuterol,"Quercetin, Yoga",3.5,4.1
anxiety,Generalized Anxiety Disorder,no known condition,adult,moderate,pharmaceutical,Alprazolam,"L-Theanine, Chamomile",4.0,4.4
shortness of breath,Asthma,heart disease,adult,moderate,pharmaceutical,Albuterol,"Quercetin, Yoga",4.8,4.4
shortness of breath,Asthma,no known condition,adult,severe,herbal,Albuterol,"Quercetin, Yoga",3.6,3.7
fatigue,Chronic Fatigue Syndrome,allergies,senior,severe,herbal,Vitamin B12,"Rhodiola, Ashwagandha",4.0,4.6
insomnia,Sleep Disorder,allergies,senior,moderate,pharmaceutical,Melatonin,"Passionflower, Lavender Oil",4.6,3.9
insomnia,Sleep Disorder,allergies,senior,severe,herbal,Melatonin,"Passionflower, Lavender Oil",4.6,4.8
headache,Migraine,diabetes,adult,moderate,pharmaceutical,Paracetamol,"Magnesium, Butterbur",4.7,4.1
anxiety,Generalized Anxiety Disorder,obesity,child,mild,herbal,Alprazolam,"L-Theanine, Valerian Root",3.8,3.5
headache,Migraine,heart disease,adult,severe,herbal,Paracetamol,"Magnesium, Butterbur",4.9,3.8
insomnia,Sleep Disorder,heart disease,senior,severe,no preference,Melatonin,"Magnesium, Lavender Oil",4.4,4.0
joint pain,Arthritis,hypertension,senior,moderate,no preference,Ibuprofen,"Devil’s Claw, Turmeric",4.4,4.2
skin rash,Allergic Reaction,no known condition,child,mild,no preference,Antihistamine,"Aloe Vera, Calendula",4.8,3.0
sore throat,Strep Throat,allergies,senior,moderate,pharmaceutical,Throat Lozenges,"Slippery Elm, Saltwater Gargle",4.8,4.4
cough,Common Cold,obesity,adult,moderate,no preference,Dextromethorphan,"Honey & Ginger, Mulethi",3.6,3.7
sore throat,Strep Throat,no known condition,child,mild,no preference,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",4.3,3.8
anxiety,Generalized Anxiety Disorder,hypertension,senior,moderate,herbal,Alprazolam,"Chamomile, Valerian Root",3.7,4.8
anxiety,Generalized Anxiety Disorder,hypertension,child,moderate,no preference,Alprazolam,"Valerian Root, L-Theanine",4.9,3.9
muscle pain,Fibromyalgia,allergies,adult,mild,no preference,Diclofenac,"Eucalyptus Oil, Arnica",4.5,4.0
nausea,Gastroenteritis,diabetes,adult,severe,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",3.9,3.9
headache,Migraine,asthma,senior,mild,no preference,Paracetamol,"Butterbur, Feverfew",3.7,3.5
anxiety,Generalized Anxiety Disorder,allergies,senior,severe,no preference,Alprazolam,"Chamomile, Valerian Root",3.9,3.9
headache,Migraine,heart disease,child,moderate,pharmaceutical,Paracetamol,"Butterbur, Magnesium",4.6,4.4
stomach pain,Gastritis,asthma,senior,severe,herbal,Omeprazole,"Fennel Seeds, Chamomile",4.3,3.7
shortness of breath,Asthma,heart disease,senior,severe,no preference,Albuterol,"Yoga, Deep Breathing",3.7,3.2
fatigue,Chronic Fatigue Syndrome,asthma,senior,moderate,no preference,Vitamin B12,"Ginseng, Rhodiola",4.9,4.7
nausea,Gastroenteritis,asthma,adult,moderate,herbal,Ondansetron,"Peppermint Oil, Ginger",4.7,3.3
fatigue,Chronic Fatigue Syndrome,hypertension,child,moderate,herbal,Vitamin B12,"Ashwagandha, Ginseng",4.8,3.3
cough,Common Cold,obesity,adult,mild,no preference,Dextromethorphan,"Mulethi, Thyme Tea",4.7,3.2
muscle pain,Fibromyalgia,hypertension,senior,moderate,no preference,Diclofenac,"Eucalyptus Oil, Arnica",4.0,4.4
insomnia,Sleep Disorder,heart disease,senior,severe,herbal,Melatonin,"Passionflower, Magnesium",4.9,5.0
nausea,Gastroenteritis,obesity,senior,moderate,herbal,Ondansetron,"Peppermint Oil, Ginger",3.7,4.1
cough,Common Cold,no known condition,senior,mild,pharmaceutical,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.4,4.4
joint pain,Arthritis,heart disease,senior,mild,herbal,Ibuprofen,"Turmeric, Boswellia",4.8,4.0
sore throat,Strep Throat,obesity,senior,moderate,herbal,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.3,3.7
sore throat,Strep Throat,obesity,child,mild,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.8,4.1
stomach pain,Gastritis,no known condition,senior,moderate,herbal,Omeprazole,"Chamomile, Probiotics",4.5,4.0
insomnia,Sleep Disorder,heart disease,adult,moderate,no preference,Melatonin,"Lavender Oil, Passionflower",3.6,3.6
headache,Migraine,obesity,child,moderate,herbal,Paracetamol,"Butterbur, Magnesium",3.8,5.0
headache,Migraine,diabetes,senior,moderate,no preference,Paracetamol,"Butterbur, Magnesium",3.8,4.6
sore throat,Strep Throat,allergies,senior,moderate,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.5,4.1
dizziness,Vertigo,diabetes,adult,mild,pharmaceutical,Meclizine,"Ginseng, Bacopa",4.9,4.5
fever,Viral Infection,asthma,child,severe,pharmaceutical,Ibuprofen,"Tulsi Tea, Giloy",4.8,3.6
shortness of breath,Asthma,hypertension,child,mild,no preference,Albuterol,"Quercetin, Deep Breathing",4.4,4.6
headache,Migraine,no known condition,child,mild,no preference,Paracetamol,"Magnesium, Feverfew",3.9,4.5
sore throat,Strep Throat,heart disease,adult,moderate,no preference,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.7,4.2
insomnia,Sleep Disorder,hypertension,child,severe,no preference,Melatonin,"Lavender Oil, Magnesium",3.5,3.5
cough,Common Cold,hypertension,senior,moderate,no preference,Dextromethorphan,"Honey & Ginger, Mulethi",3.5,4.9
sore throat,Strep Throat,no known condition,adult,severe,herbal,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.3,3.5
insomnia,Sleep Disorder,heart disease,senior,severe,pharmaceutical,Melatonin,"Lavender Oil, Passionflower",4.0,3.4
fatigue,Chronic Fatigue Syndrome,asthma,senior,severe,herbal,Vitamin B12,"Rhodiola, Ashwagandha",4.2,4.7
muscle pain,Fibromyalgia,obesity,senior,moderate,pharmaceutical,Diclofenac,"Arnica, Massage Therapy",4.8,3.0
cough,Common Cold,asthma,child,severe,pharmaceutical,Dextromethorphan,"Mulethi, Honey & Ginger",4.3,3.1
sore throat,Strep Throat,hypertension,child,severe,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Slippery Elm",4.8,4.7
skin rash,Allergic Reaction,obesity,adult,mild,herbal,Antihistamine,"Calendula, Aloe Vera",4.1,4.7
sore throat,Strep Throat,no known condition,child,severe,herbal,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.2,4.1
stomach pain,Gastritis,diabetes,child,severe,pharmaceutical,Omeprazole,"Chamomile, Probiotics",4.3,4.9
skin rash,Allergic Reaction,diabetes,senior,moderate,pharmaceutical,Antihistamine,"Oatmeal, Aloe Vera",4.7,3.8
fatigue,Chronic Fatigue Syndrome,allergies,child,severe,no preference,Vitamin B12,"Ashwagandha, Rhodiola",3.9,3.1
joint pain,Arthritis,allergies,child,moderate,pharmaceutical,Ibuprofen,"Turmeric, Boswellia",4.7,4.2
cough,Common Cold,allergies,child,moderate,pharmaceutical,Dextromethorphan,"Honey & Ginger, Mulethi",4.8,4.8
skin rash,Allergic Reaction,obesity,adult,moderate,no preference,Antihistamine,"Calendula, Oatmeal",4.3,3.5
headache,Migraine,no known condition,senior,mild,no preference,Paracetamol,"Feverfew, Magnesium",4.9,3.1
joint pain,Arthritis,allergies,senior,severe,herbal,Ibuprofen,"Turmeric, Boswellia",3.7,4.1
shortness of breath,Asthma,asthma,senior,mild,pharmaceutical,Albuterol,"Deep Breathing, Yoga",4.3,4.3
stomach pain,Gastritis,obesity,senior,severe,pharmaceutical,Omeprazole,"Probiotics, Fennel Seeds",4.1,3.4
fatigue,Chronic Fatigue Syndrome,no known condition,senior,moderate,pharmaceutical,Vitamin B12,"Ashwagandha, Rhodiola",4.2,3.7
headache,Migraine,obesity,child,moderate,pharmaceutical,Paracetamol,"Feverfew, Butterbur",4.9,3.4
fatigue,Chronic Fatigue Syndrome,allergies,child,mild,pharmaceutical,Vitamin B12,"Ashwagandha, Rhodiola",4.0,4.5
insomnia,Sleep Disorder,hypertension,adult,mild,herbal,Melatonin,"Passionflower, Lavender Oil",4.6,3.1
anxiety,Generalized Anxiety Disorder,diabetes,child,severe,herbal,Alprazolam,"L-Theanine, Valerian Root",3.8,3.8
stomach pain,Gastritis,asthma,adult,severe,pharmaceutical,Omeprazole,"Probiotics, Fennel Seeds",4.6,4.3
sore throat,Strep Throat,heart disease,child,mild,no preference,Throat Lozenges,"Slippery Elm, Saltwater Gargle",4.4,5.0
stomach pain,Gastritis,no known condition,child,moderate,pharmaceutical,Omeprazole,"Chamomile, Fennel Seeds",3.6,3.9
anxiety,Generalized Anxiety Disorder,diabetes,senior,severe,pharmaceutical,Alprazolam,"Valerian Root, Chamomile",4.4,3.5
dizziness,Vertigo,diabetes,adult,severe,herbal,Meclizine,"Ginseng, Ginger",3.9,4.6
sore throat,Strep Throat,hypertension,child,mild,herbal,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",4.8,4.1
stomach pain,Gastritis,obesity,child,moderate,pharmaceutical,Omeprazole,"Chamomile, Probiotics",4.8,3.0
nausea,Gastroenteritis,asthma,adult,mild,pharmaceutical,Ondansetron,"Peppermint Oil, Ginger",3.7,3.4
headache,Migraine,hypertension,adult,moderate,herbal,Paracetamol,"Butterbur, Magnesium",4.1,3.1
headache,Migraine,no known condition,child,mild,herbal,Paracetamol,"Feverfew, Magnesium",4.6,3.2
stomach pain,Gastritis,hypertension,child,severe,pharmaceutical,Omeprazole,"Fennel Seeds, Probiotics",4.8,3.4
insomnia,Sleep Disorder,allergies,child,moderate,no preference,Melatonin,"Magnesium, Passionflower",3.6,3.6
fatigue,Chronic Fatigue Syndrome,allergies,adult,mild,pharmaceutical,Vitamin B12,"Ginseng, Rhodiola",4.3,4.5
fatigue,Chronic Fatigue Syndrome,hypertension,child,mild,herbal,Vitamin B12,"Ginseng, Rhodiola",4.7,4.7
skin rash,Allergic Reaction,heart disease,adult,mild,herbal,Antihistamine,"Aloe Vera, Oatmeal",4.0,4.3
shortness of breath,Asthma,no known condition,senior,severe,herbal,Albuterol,"Quercetin, Yoga",3.5,3.2
headache,Migraine,obesity,adult,mild,no preference,Paracetamol,"Butterbur, Magnesium",4.6,3.7
fatigue,Chronic Fatigue Syndrome,no known condition,adult,severe,no preference,Vitamin B12,"Rhodiola, Ginseng",3.5,5.0
stomach pain,Gastritis,heart disease,child,mild,pharmaceutical,Omeprazole,"Chamomile, Probiotics",3.6,3.4
fever,Viral Infection,hypertension,adult,moderate,pharmaceutical,Ibuprofen,"Giloy, Elderberry",5.0,4.5
insomnia,Sleep Disorder,heart disease,child,mild,no preference,Melatonin,"Magnesium, Lavender Oil",5.0,5.0
fatigue,Chronic Fatigue Syndrome,heart disease,child,moderate,no preference,Vitamin B12,"Rhodiola, Ashwagandha",4.7,3.1
anxiety,Generalized Anxiety Disorder,no known condition,child,severe,no preference,Alprazolam,"Chamomile, Valerian Root",4.6,3.0
stomach pain,Gastritis,hypertension,senior,mild,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",4.6,3.4
headache,Migraine,hypertension,child,severe,herbal,Paracetamol,"Butterbur, Magnesium",4.8,4.7
stomach pain,Gastritis,diabetes,senior,moderate,no preference,Omeprazole,"Chamomile, Fennel Seeds",4.9,3.8
skin rash,Allergic Reaction,diabetes,senior,severe,pharmaceutical,Antihistamine,"Aloe Vera, Calendula",4.1,4.6
fever,Viral Infection,no known condition,adult,mild,no preference,Ibuprofen,"Tulsi Tea, Giloy",4.9,3.3
joint pain,Arthritis,hypertension,adult,severe,herbal,Ibuprofen,"Devil’s Claw, Boswellia",4.6,3.7
headache,Migraine,no known condition,senior,mild,herbal,Paracetamol,"Butterbur, Feverfew",4.9,3.9
insomnia,Sleep Disorder,hypertension,senior,moderate,herbal,Melatonin,"Passionflower, Magnesium",4.4,4.5
insomnia,Sleep Disorder,diabetes,adult,mild,no preference,Melatonin,"Lavender Oil, Magnesium",4.7,5.0
sore throat,Strep Throat,no known condition,senior,moderate,no preference,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.9,5.0
insomnia,Sleep Disorder,no known condition,adult,mild,no preference,Melatonin,"Lavender Oil, Passionflower",4.5,3.6
stomach pain,Gastritis,hypertension,adult,severe,pharmaceutical,Omeprazole,"Chamomile, Fennel Seeds",4.6,4.7
fever,Viral Infection,obesity,adult,severe,pharmaceutical,Ibuprofen,"Giloy, Elderberry",4.1,3.5
nausea,Gastroenteritis,heart disease,child,mild,no preference,Ondansetron,"Peppermint Oil, Ginger",4.8,3.7
shortness of breath,Asthma,asthma,senior,severe,pharmaceutical,Albuterol,"Yoga, Deep Breathing",4.0,3.9
cough,Common Cold,heart disease,adult,severe,no preference,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.0,4.7
anxiety,Generalized Anxiety Disorder,heart disease,child,severe,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",3.7,4.6
anxiety,Generalized Anxiety Disorder,obesity,child,moderate,herbal,Alprazolam,"Chamomile, Valerian Root",4.9,3.0
fatigue,Chronic Fatigue Syndrome,no known condition,child,mild,pharmaceutical,Vitamin B12,"Rhodiola, Ginseng",3.5,4.3
joint pain,Arthritis,allergies,child,moderate,pharmaceutical,Ibuprofen,"Boswellia, Devil’s Claw",5.0,4.0
joint pain,Arthritis,hypertension,adult,moderate,pharmaceutical,Ibuprofen,"Turmeric, Boswellia",4.6,4.1
anxiety,Generalized Anxiety Disorder,asthma,adult,mild,pharmaceutical,Alprazolam,"Valerian Root, L-Theanine",4.0,3.7
cough,Common Cold,allergies,child,moderate,no preference,Dextromethorphan,"Honey & Ginger, Mulethi",4.7,3.3
joint pain,Arthritis,diabetes,child,severe,pharmaceutical,Ibuprofen,"Devil’s Claw, Boswellia",4.0,3.7
nausea,Gastroenteritis,asthma,adult,mild,no preference,Ondansetron,"Ginger, Peppermint Oil",4.6,3.2
shortness of breath,Asthma,hypertension,senior,moderate,pharmaceutical,Albuterol,"Yoga, Deep Breathing",3.6,4.3
fever,Viral Infection,asthma,child,moderate,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.8,4.3
anxiety,Generalized Anxiety Disorder,asthma,adult,severe,herbal,Alprazolam,"Valerian Root, L-Theanine",3.9,3.9
joint pain,Arthritis,allergies,adult,severe,pharmaceutical,Ibuprofen,"Devil’s Claw, Boswellia",3.7,4.3
nausea,Gastroenteritis,asthma,senior,mild,herbal,Ondansetron,"Lemon Balm, Peppermint Oil",4.8,4.6
sore throat,Strep Throat,obesity,senior,severe,no preference,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.6,3.4
dizziness,Vertigo,diabetes,adult,mild,herbal,Meclizine,"Ginger, Ginseng",4.5,3.4
dizziness,Vertigo,no known condition,adult,mild,herbal,Meclizine,"Bacopa, Ginseng",4.7,4.9
muscle pain,Fibromyalgia,no known condition,senior,severe,herbal,Diclofenac,"Massage Therapy, Eucalyptus Oil",4.3,4.6
stomach pain,Gastritis,obesity,adult,severe,herbal,Omeprazole,"Chamomile, Probiotics",5.0,3.4
skin rash,Allergic Reaction,no known condition,child,severe,pharmaceutical,Antihistamine,"Oatmeal, Calendula",4.7,4.7
headache,Migraine,heart disease,adult,mild,herbal,Paracetamol,"Magnesium, Butterbur",3.7,3.8
nausea,Gastroenteritis,diabetes,child,severe,no preference,Ondansetron,"Peppermint Oil, Lemon Balm",4.3,4.4
shortness of breath,Asthma,hypertension,adult,moderate,pharmaceutical,Albuterol,"Quercetin, Deep Breathing",4.7,4.7
headache,Migraine,no known condition,child,severe,no preference,Paracetamol,"Feverfew, Butterbur",3.6,4.4
skin rash,Allergic Reaction,hypertension,adult,mild,herbal,Antihistamine,"Calendula, Oatmeal",4.9,3.8
dizziness,Vertigo,obesity,child,moderate,herbal,Meclizine,"Ginseng, Bacopa",4.3,3.7
headache,Migraine,diabetes,adult,moderate,pharmaceutical,Paracetamol,"Feverfew, Butterbur",3.7,4.8
shortness of breath,Asthma,asthma,adult,moderate,pharmaceutical,Albuterol,"Quercetin, Deep Breathing",3.7,3.1
cough,Common Cold,obesity,adult,severe,no preference,Dextromethorphan,"Mulethi, Thyme Tea",3.9,3.7
skin rash,Allergic Reaction,diabetes,senior,moderate,no preference,Antihistamine,"Calendula, Aloe Vera",3.7,4.8
shortness of breath,Asthma,heart disease,child,severe,herbal,Albuterol,"Deep Breathing, Yoga",4.2,4.4
muscle pain,Fibromyalgia,heart disease,child,moderate,pharmaceutical,Diclofenac,"Eucalyptus Oil, Massage Therapy",4.1,3.7
anxiety,Generalized Anxiety Disorder,hypertension,child,severe,herbal,Alprazolam,"Valerian Root, Chamomile",4.3,4.5
anxiety,Generalized Anxiety Disorder,no known condition,adult,moderate,herbal,Alprazolam,"Valerian Root, L-Theanine",3.8,4.6
